sale_id,org_code,amount
1,ORG001,37.25
2,ORG002,74.25
3,ORG003,111.25
4,ORG004,148.25
5,ORG005,185.25
6,ORG006,222.25
7,ORG007,259.25
8,ORG008,296.25
9,ORG009,333.25
10,ORG010,370.25
11,ORG001,407.25
12,ORG002,444.25
13,ORG003,481.25
14,ORG004,518.25
15,ORG005,555.25
16,ORG006,592.25
17,ORG007,629.25
18,ORG008,666.25
19,ORG009,703.25
20,ORG010,740.25
21,ORG001,777.25
22,ORG002,814.25
23,ORG003,851.25
24,ORG004,888.25
25,ORG005,925.25
26,ORG006,962.25
27,ORG007,999.25
28,ORG008,36.25
29,ORG009,73.25
30,ORG010,110.25
31,ORG001,147.25
32,ORG002,184.25
33,ORG003,221.25
34,ORG004,258.25
35,ORG005,295.25
36,ORG006,332.25
37,ORG007,369.25
38,ORG008,406.25
39,ORG009,443.25
40,ORG010,480.25
41,ORG001,517.25
42,ORG002,554.25
43,ORG003,591.25
44,ORG004,628.25
45,ORG005,665.25
46,ORG006,702.25
47,ORG007,739.25
48,ORG008,776.25
49,ORG009,813.25
50,ORG010,850.25
51,ORG001,887.25
52,ORG002,924.25
53,ORG003,961.25
54,ORG004,998.25
55,ORG005,35.25
56,ORG006,72.25
57,ORG007,109.25
58,ORG008,146.25
59,ORG009,183.25
60,ORG010,220.25
61,ORG001,257.25
62,ORG002,294.25
63,ORG003,331.25
64,ORG004,368.25
65,ORG005,405.25
66,ORG006,442.25
67,ORG007,479.25
68,ORG008,516.25
69,ORG009,553.25
70,ORG010,590.25
71,ORG001,627.25
72,ORG002,664.25
73,ORG003,701.25
74,ORG004,738.25
75,ORG005,775.25
76,ORG006,812.25
77,ORG007,849.25
78,ORG008,886.25
79,ORG009,923.25
80,ORG010,960.25
81,ORG001,997.25
82,ORG002,34.25
83,ORG003,71.25
84,ORG004,108.25
85,ORG005,145.25
86,ORG006,182.25
87,ORG007,219.25
88,ORG008,256.25
89,ORG009,293.25
90,ORG010,330.25
91,ORG001,367.25
92,ORG002,404.25
93,ORG003,441.25
94,ORG004,478.25
95,ORG005,515.25
96,ORG006,552.25
97,ORG007,589.25
98,ORG008,626.25
99,ORG009,663.25
100,ORG010,700.25
101,ORG001,737.25
102,ORG002,774.25
103,ORG003,811.25
104,ORG004,848.25
105,ORG005,885.25
106,ORG006,922.25
107,ORG007,959.25
108,ORG008,996.25
109,ORG009,33.25
110,ORG010,70.25
111,ORG001,107.25
112,ORG002,144.25
113,ORG003,181.25
114,ORG004,218.25
115,ORG005,255.25
116,ORG006,292.25
117,ORG007,329.25
118,ORG008,366.25
119,ORG009,403.25
120,ORG010,440.25
121,ORG001,477.25
122,ORG002,514.25
123,ORG003,551.25
124,ORG004,588.25
125,ORG005,625.25
126,ORG006,662.25
127,ORG007,699.25
128,ORG008,736.25
129,ORG009,773.25
130,ORG010,810.25
131,ORG001,847.25
132,ORG002,884.25
133,ORG003,921.25
134,ORG004,958.25
135,ORG005,995.25
136,ORG006,32.25
137,ORG007,69.25
138,ORG008,106.25
139,ORG009,143.25
140,ORG010,180.25
141,ORG001,217.25
142,ORG002,254.25
143,ORG003,291.25
144,ORG004,328.25
145,ORG005,365.25
146,ORG006,402.25
147,ORG007,439.25
148,ORG008,476.25
149,ORG009,513.25
150,ORG010,550.25
151,ORG001,587.25
152,ORG002,624.25
153,ORG003,661.25
154,ORG004,698.25
155,ORG005,735.25
156,ORG006,772.25
157,ORG007,809.25
158,ORG008,846.25
159,ORG009,883.25
160,ORG010,920.25
161,ORG001,957.25
162,ORG002,994.25
163,ORG003,31.25
164,ORG004,68.25
165,ORG005,105.25
166,ORG006,142.25
167,ORG007,179.25
168,ORG008,216.25
169,ORG009,253.25
170,ORG010,290.25
171,ORG001,327.25
172,ORG002,364.25
173,ORG003,401.25
174,ORG004,438.25
175,ORG005,475.25
176,ORG006,512.25
177,ORG007,549.25
178,ORG008,586.25
179,ORG009,623.25
180,ORG010,660.25
181,ORG001,697.25
182,ORG002,734.25
183,ORG003,771.25
184,ORG004,808.25
185,ORG005,845.25
186,ORG006,882.25
187,ORG007,919.25
188,ORG008,956.25
189,ORG009,993.25
190,ORG010,30.25
191,ORG001,67.25
192,ORG002,104.25
193,ORG003,141.25
194,ORG004,178.25
195,ORG005,215.25
196,ORG006,252.25
197,ORG007,289.25
198,ORG008,326.25
199,ORG009,363.25
200,ORG010,400.25
201,ORG001,437.25
202,ORG002,474.25
203,ORG003,511.25
204,ORG004,548.25
205,ORG005,585.25
206,ORG006,622.25
207,ORG007,659.25
208,ORG008,696.25
209,ORG009,733.25
210,ORG010,770.25
211,ORG001,807.25
212,ORG002,844.25
213,ORG003,881.25
214,ORG004,918.25
215,ORG005,955.25
216,ORG006,992.25
